algorithm,input_order,size,run,seed,time_ms,peak_memory_kib
merge,sorted,50000,1,5000413,183.2441,391.83203125
heap,sorted,50000,1,5000413,319.4196,0.58984375
quick,sorted,50000,1,5000413,162.3081,1.5234375
python,sorted,50000,1,5000413,15.9742,390.625
merge,random,50000,1,5000413,241.5886,391.83203125
heap,random,50000,1,5000413,417.4768,0.58984375
quick,random,50000,1,5000413,227.7523,1.203125
python,random,50000,1,5000413,38.9471,780.828125
merge,reverse,50000,1,5000413,164.5153,391.83203125
heap,reverse,50000,1,5000413,362.437,0.58984375
quick,reverse,50000,1,5000413,188.7529,1.5234375
python,reverse,50000,1,5000413,26.343,781.09375
merge,sorted,50000,2,5000414,171.7374,391.83203125
heap,sorted,50000,2,5000414,302.2489,0.58984375
quick,sorted,50000,2,5000414,154.3662,1.5234375
python,sorted,50000,2,5000414,18.6386,390.625
merge,random,50000,2,5000414,258.6603,391.83203125
heap,random,50000,2,5000414,427.7452,0.58984375
quick,random,50000,2,5000414,229.8134,1.2578125
python,random,50000,2,5000414,42.9068,780.90625
merge,reverse,50000,2,5000414,159.8541,391.83203125
heap,reverse,50000,2,5000414,335.9299,0.58984375
quick,reverse,50000,2,5000414,214.4927,1.5234375
python,reverse,50000,2,5000414,24.3191,781.09375
merge,sorted,50000,3,5000415,160.7886,391.83203125
heap,sorted,50000,3,5000415,298.7118,0.58984375
quick,sorted,50000,3,5000415,171.1933,1.5234375
python,sorted,50000,3,5000415,15.6147,390.625
merge,random,50000,3,5000415,258.853,391.83203125
heap,random,50000,3,5000415,415.2177,0.58984375
quick,random,50000,3,5000415,232.3962,1.15625
python,random,50000,3,5000415,41.8785,780.875
merge,reverse,50000,3,5000415,159.5863,391.83203125
heap,reverse,50000,3,5000415,359.2237,0.58984375
quick,reverse,50000,3,5000415,232.1118,1.5234375
python,reverse,50000,3,5000415,22.8805,781.09375
merge,sorted,50000,4,5000416,178.926,391.83203125
heap,sorted,50000,4,5000416,330.3065,0.58984375
quick,sorted,50000,4,5000416,163.6164,1.5234375
python,sorted,50000,4,5000416,20.1687,390.625
merge,random,50000,4,5000416,243.9508,391.83203125
heap,random,50000,4,5000416,412.0156,0.58984375
quick,random,50000,4,5000416,209.7302,1.0546875
python,random,50000,4,5000416,38.691,780.859375
merge,reverse,50000,4,5000416,161.4596,391.83203125
heap,reverse,50000,4,5000416,339.1617,0.58984375
quick,reverse,50000,4,5000416,216.1528,1.5234375
python,reverse,50000,4,5000416,28.8767,781.09375
merge,sorted,50000,5,5000417,182.1987,391.83203125
heap,sorted,50000,5,5000417,309.2205,0.58984375
quick,sorted,50000,5,5000417,157.1064,1.5234375
python,sorted,50000,5,5000417,17.3219,390.625
merge,random,50000,5,5000417,263.0218,391.83203125
heap,random,50000,5,5000417,418.2896,0.58984375
quick,random,50000,5,5000417,196.2138,1.140625
python,random,50000,5,5000417,50.3992,780.90625
merge,reverse,50000,5,5000417,219.4439,391.83203125
heap,reverse,50000,5,5000417,357.4031,0.58984375
quick,reverse,50000,5,5000417,225.2801,1.5234375
python,reverse,50000,5,5000417,24.7927,781.09375
